City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Alugan,PH,2021-08-04 09:16:28,12.2188,125.4808,87.69,61,100,10.6
132,Mpika,ZM,2021-08-04 09:16:28,-11.8343,31.4529,69.39,25,0,10.2
133,Oyugis,KE,2021-08-04 09:16:29,-0.509,34.7358,82.51,35,24,9.44
134,Kodiak,US,2021-08-04 09:16:29,57.79,-152.4072,53.11,94,90,0.0
135,Airai,TL,2021-08-04 09:16:29,-8.9266,125.4092,65.16,71,97,4.59
136,Geraldton,AU,2021-08-04 09:16:30,-28.7667,114.6,61.21,63,0,9.22
137,Christchurch,NZ,2021-08-04 09:15:07,-43.5333,172.6333,46.0,74,100,7.0
138,Hokitika,NZ,2021-08-04 09:16:30,-42.7167,170.9667,43.11,78,100,7.05
139,Magadan,RU,2021-08-04 09:16:30,59.5667,150.8,56.19,64,99,4.14
140,Haines Junction,CA,2021-08-04 09:16:31,60.7522,-137.5108,53.55,82,74,3.44
141,Vysha,RU,2021-08-04 09:16:31,53.8477,42.3777,77.23,37,39,8.57
142,Turukhansk,RU,2021-08-04 09:16:31,65.8167,87.9833,72.36,57,78,3.74
143,Wanning,CN,2021-08-04 09:16:32,18.8003,110.3967,85.93,77,99,7.83
144,Pangnirtung,CA,2021-08-04 09:16:32,66.1451,-65.7125,51.37,74,100,7.34
145,Kavaratti,IN,2021-08-04 09:16:33,10.5669,72.642,82.65,77,100,14.65
146,Esperance,AU,2021-08-04 09:16:33,-33.8667,121.9,55.85,78,14,4.38
147,Nusaybin,TR,2021-08-04 09:16:33,37.0778,41.2178,108.14,11,0,3.44
148,Varnamo,SE,2021-08-04 09:16:34,57.186,14.04,70.75,61,73,1.34
149,Provideniya,RU,2021-08-04 09:16:34,64.3833,-173.3,48.65,96,100,14.2
150,Uusikaupunki,FI,2021-08-04 09:16:34,60.8004,21.4084,64.92,50,7,10.98
151,Kruisfontein,ZA,2021-08-04 09:16:35,-34.0033,24.7314,62.89,64,24,8.46
152,Teya,RU,2021-08-04 09:16:35,60.3778,92.6267,74.77,51,54,4.0
153,Porto Santo,PT,2021-08-04 09:16:35,33.072,-16.3415,75.11,73,75,12.66
154,Petropavlovsk-Kamchatskiy,RU,2021-08-04 09:16:36,53.0452,158.6483,52.39,87,40,4.47
155,College,US,2021-08-04 09:16:36,64.8569,-147.8028,71.26,58,40,10.36
156,Broome,US,2021-08-04 09:16:36,42.2506,-75.833,56.37,96,1,0.0
157,Kutum,SD,2021-08-04 09:16:37,14.2,24.6667,83.12,45,90,12.48
158,Nome,US,2021-08-04 09:16:37,64.5011,-165.4064,59.07,77,1,8.05
159,Lagoa,PT,2021-08-04 09:16:37,39.05,-27.9833,71.55,90,11,11.59
160,Beringovskiy,RU,2021-08-04 09:16:38,63.05,179.3167,46.49,87,100,6.31
161,Lata,PT,2021-08-04 09:16:38,40.1629,-8.3327,74.05,74,100,5.3
162,Leningradskiy,RU,2021-08-04 09:16:38,69.3833,178.4167,39.78,97,89,7.4
163,Pevek,RU,2021-08-04 09:16:39,69.7008,170.3133,37.33,94,95,1.3
164,Lensk,RU,2021-08-04 09:16:39,60.7253,114.9278,62.78,89,97,2.06
165,Vardo,NO,2021-08-04 09:16:39,70.3705,31.1107,48.4,93,75,33.38
166,Bethel,US,2021-08-04 09:16:40,41.3712,-73.414,63.48,90,1,0.0
167,Vilhena,BR,2021-08-04 09:16:40,-12.7406,-60.1458,62.22,58,59,3.31
168,San Cristobal,VE,2021-08-04 09:16:41,7.7669,-72.225,62.89,98,100,3.96
169,Zeya,RU,2021-08-04 09:16:41,53.75,127.2667,71.65,65,92,4.9
170,Bagdarin,RU,2021-08-04 09:16:41,54.4333,113.6,67.46,66,79,0.63
171,Saint-Augustin,CA,2021-08-04 09:16:42,51.226,-58.6502,53.47,72,2,16.17
172,Mehamn,NO,2021-08-04 09:16:42,71.0357,27.8492,50.18,96,100,30.96
173,Narsaq,GL,2021-08-04 09:16:42,60.9167,-46.05,44.82,97,100,1.01
174,Olafsvik,IS,2021-08-04 09:16:43,64.8945,-23.7142,53.42,92,100,9.51
175,Te Anau,NZ,2021-08-04 09:16:43,-45.4167,167.7167,38.19,86,100,0.22
176,Playa Vicente,MX,2021-08-04 09:16:44,17.8333,-95.8167,73.35,95,97,2.93
177,Port Hedland,AU,2021-08-04 09:16:44,-20.3167,118.5667,84.25,12,94,14.97
178,Harper,LR,2021-08-04 09:16:44,4.375,-7.7169,77.68,81,97,6.29
179,Faya,SA,2021-08-04 09:16:45,18.3851,42.4509,84.31,34,66,5.99
180,Khani,GE,2021-08-04 09:16:45,41.9563,42.9566,81.97,32,0,5.01
181,Prieska,ZA,2021-08-04 09:16:45,-29.6641,22.7474,72.91,16,15,17.54
182,Tabou,CI,2021-08-04 09:16:46,4.423,-7.3528,77.41,81,86,5.44
183,Goryachegorsk,RU,2021-08-04 09:16:46,55.4053,88.9154,68.49,71,99,2.48
184,Half Moon Bay,US,2021-08-04 09:16:46,37.4636,-122.4286,61.03,88,75,0.0
185,Puerto Ayora,EC,2021-08-04 09:16:46,-0.7393,-90.3518,67.89,85,20,6.89
186,Arraial Do Cabo,BR,2021-08-04 09:16:47,-22.9661,-42.0278,64.26,88,20,13.8
187,Necochea,AR,2021-08-04 09:16:47,-38.5473,-58.7368,43.03,79,0,7.36
188,Meadow Lake,US,2021-08-04 09:16:48,34.8014,-106.5436,70.12,67,32,3.67
189,Nizhneudinsk,RU,2021-08-04 09:16:48,54.9076,99.0276,79.68,44,79,0.72
190,San Lorenzo,PY,2021-08-04 09:16:48,-25.3333,-57.5333,43.74,87,0,2.3
191,Laguna,US,2021-08-04 09:16:49,38.421,-121.4238,79.3,60,1,1.01
192,Markala,ML,2021-08-04 09:16:49,13.7021,-6.0659,82.63,62,99,6.38
193,Avarua,CK,2021-08-04 09:16:49,-21.2078,-159.775,71.65,83,75,3.44
194,Putina,PE,2021-08-04 09:16:50,-15.4667,-69.4333,36.16,72,73,4.61
195,Coatzintla,MX,2021-08-04 09:16:50,20.4833,-97.45,73.83,93,84,2.91
196,Wagar,SD,2021-08-04 09:16:51,16.1525,36.2032,87.96,46,77,10.71
197,Natal,BR,2021-08-04 09:16:51,-5.795,-35.2094,71.82,94,75,8.05
198,Makat,KZ,2021-08-04 09:16:51,47.6469,53.3463,107.33,8,4,6.13
199,Norman Wells,CA,2021-08-04 09:16:52,65.282,-126.8329,50.04,93,90,4.61
200,Leshukonskoye,RU,2021-08-04 09:16:52,64.8989,45.7622,67.17,56,55,12.88
201,Agirish,RU,2021-08-04 09:16:52,61.9247,63.0231,80.82,37,66,8.59
202,Lyuban,BY,2021-08-04 09:16:53,52.7985,28.0048,72.43,43,85,5.21
203,Avera,US,2021-08-04 09:16:53,33.194,-82.5271,71.47,92,66,6.02
204,Koraput,IN,2021-08-04 09:16:53,18.8167,82.7167,76.24,77,99,10.96
205,Lahad Datu,MY,2021-08-04 09:16:54,5.0268,118.327,83.1,84,95,6.85
206,Tarusa,RU,2021-08-04 09:16:54,54.7233,37.1767,72.16,59,96,4.32
207,Champerico,GT,2021-08-04 09:16:55,14.3,-91.9167,82.35,81,98,8.34
208,Biak,ID,2021-08-04 09:16:55,-0.9131,122.8766,79.12,73,75,7.54
209,Kuryk,KZ,2021-08-04 09:16:55,43.2,51.65,96.26,23,75,8.32
210,Brae,GB,2021-08-04 09:16:56,60.3964,-1.353,58.91,81,100,6.15
211,Bengkulu,ID,2021-08-04 09:16:56,-3.8004,102.2655,80.82,81,72,8.79
212,Klaksvik,FO,2021-08-04 09:16:56,62.2266,-6.589,52.72,91,100,10.49
213,Dingle,PH,2021-08-04 09:16:57,10.9995,122.6711,85.06,73,58,14.32
214,San Carlos De Bariloche,AR,2021-08-04 09:16:57,-41.1456,-71.3082,44.44,54,0,9.22
215,Mansa,IN,2021-08-04 09:16:58,29.9833,75.3833,99.23,41,12,3.87
216,Orlik,RU,2021-08-04 09:16:58,52.5178,99.825,68.72,50,86,3.47
217,Kloulklubed,PW,2021-08-04 09:16:58,7.0419,134.2556,79.3,75,100,5.91
218,Kirakira,SB,2021-08-04 09:16:59,-10.4544,161.9205,76.05,80,79,7.56
219,Touros,BR,2021-08-04 09:16:59,-5.1989,-35.4608,70.7,88,100,13.96
220,Alpena,US,2021-08-04 09:16:59,45.0617,-83.4327,63.1,94,1,0.0
221,Tuatapere,NZ,2021-08-04 09:17:00,-46.1333,167.6833,37.81,83,100,2.71
222,Mayo,US,2021-08-04 09:17:00,38.8876,-76.5119,69.94,94,100,8.16
223,San Quintin,MX,2021-08-04 09:17:00,30.4833,-115.95,68.79,85,5,10.6
224,Iracoubo,GF,2021-08-04 09:17:01,5.4802,-53.2011,76.6,83,6,0.94
225,Lorengau,PG,2021-08-04 09:17:01,-2.0226,147.2712,81.32,77,12,2.28
226,Bambous Virieux,MU,2021-08-04 09:17:02,-20.3428,57.7575,73.65,68,75,18.41
227,Katsuura,JP,2021-08-04 09:17:02,35.1333,140.3,87.91,80,0,7.27
