City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
403,Faanui,PF,79.05,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
406,Dingle,PH,77.41,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
407,Telafas,PH,77.59,overcast clouds,6.6353,124.975,Telafas Columbio Sultan Kudarat
412,Kavieng,PG,83.86,light rain,-2.5744,150.7967,Nusa Island Retreat
414,Bardiyah,LY,78.04,clear sky,31.7561,25.0865,بورتو بردية
416,Lawrenceville,US,85.24,few clouds,33.9562,-83.988,"Holiday Inn Express & Suites Lawrenceville, an IHG Hotel"
417,Damghan,IR,79.74,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
418,Sarangani,PH,81.93,overcast clouds,5.4033,125.4636,Ballistic Islet
420,Nicoya,CR,75.74,overcast clouds,10.1483,-85.452,Guayacan Real
421,Riberalta,BO,80.11,clear sky,-10.9833,-66.1,Hotel Colonial
424,Mutis,CO,78.98,broken clouds,6.2262,-77.4044,Paraiso Escondido
426,Katsuura,JP,86.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
430,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
436,Alenquer,BR,81.93,overcast clouds,-1.9417,-54.7383,Josilene Castro
438,Dahuk,IQ,83.21,clear sky,36.8695,42.994,Parwar Hotel
440,Nieuw Nickerie,SR,79.09,overcast clouds,5.95,-56.9833,Ishwardat Inn
443,Tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
447,Puerto Maldonado,PE,77.56,clear sky,-12.6,-69.1833,Wasai Hotel
448,Basco,PH,83.93,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
451,Qurayyat,SA,77.83,clear sky,31.3318,37.3428,Mozon Furnished Aprtments
454,Guerrero Negro,MX,76.71,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
455,Biak,ID,77.5,overcast clouds,-0.9131,122.8766,Penginapan Kim
456,Urbano Santos,BR,77.99,broken clouds,-3.2078,-43.4036,Pousada Santa Dulce
461,The Valley,AI,83.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
466,Ariquemes,BR,80.58,clear sky,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
467,Sakakah,SA,86.02,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
473,Irbil,IQ,88.3,clear sky,36.1926,44.0106,Erbil International Hotel
