City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Saint-Pierre,RE,-21.3393,55.4781,68.29,69,0,4.61,clear sky
284,Namatanai,PG,-3.6667,152.4333,83.64,68,59,6.93,broken clouds
285,Villefontaine,FR,45.6125,5.1456,60.26,77,0,3.44,clear sky
286,Kosh-Agach,RU,50.0,88.6667,54.82,61,41,0.89,scattered clouds
287,Komsomolskiy,UZ,40.4272,71.7189,76.42,24,0,3.2,clear sky
288,Los Chiles,CR,11.0333,-84.7167,74.08,96,100,3.8,overcast clouds
289,Borovoy,RU,55.4333,86.0833,61.88,94,20,0.0,fog
290,Georgetown,MY,5.4112,100.3354,81.9,84,20,0.0,light rain
291,Satana,IN,20.5833,74.2,73.62,87,94,6.6,overcast clouds
292,Narsaq,GL,60.9167,-46.05,44.82,78,10,5.39,clear sky
293,Ribeira Grande,PT,38.5167,-28.7,72.86,87,53,16.15,broken clouds
294,Iskateley,RU,67.6803,53.1512,43.95,93,3,2.82,clear sky
295,Poum,NC,-20.2333,164.0167,70.68,58,59,16.62,broken clouds
296,Bandar-E Lengeh,IR,26.5579,54.8807,92.26,67,16,8.97,few clouds
297,Bam,IR,29.106,58.357,85.3,13,2,9.98,clear sky
298,Acarau,BR,-2.8856,-40.12,79.39,78,17,19.35,few clouds
299,Birao,CF,10.2849,22.7882,69.08,97,100,3.62,overcast clouds
300,Shingu,JP,33.7333,135.9833,80.91,92,96,21.52,overcast clouds
301,Palu,ID,-0.8917,119.8707,80.15,82,88,1.5,overcast clouds
302,Kaabong,UG,3.4836,34.1492,61.72,84,60,3.2,broken clouds
303,Honningsvag,NO,70.9821,25.9704,55.13,74,13,13.82,few clouds
304,Moyale,KE,3.5167,39.0584,65.12,67,69,14.14,broken clouds
305,Zhirnovsk,RU,50.9845,44.7735,81.77,30,100,14.74,overcast clouds
306,Zeya,RU,53.75,127.2667,59.32,63,66,8.41,broken clouds
307,Chokurdakh,RU,70.6333,147.9167,67.84,40,64,14.85,broken clouds
308,Sioux Lookout,CA,50.1001,-91.917,77.52,54,7,5.48,clear sky
309,Pietarsaari,FI,63.65,22.6833,61.9,86,100,4.54,overcast clouds
310,Matadi,CD,-5.8167,13.45,72.12,76,10,3.51,clear sky
311,Marystown,CA,47.1666,-55.1483,58.48,89,94,17.11,overcast clouds
312,Ipanema,BR,-30.1391,-51.2244,71.38,72,0,3.83,clear sky
313,Coquimbo,CL,-29.9533,-71.3436,55.13,82,20,6.91,few clouds
314,Manavgat,TR,36.7867,31.4431,84.61,48,0,6.62,clear sky
315,Chilliwack,CA,49.1747,-121.9443,72.09,76,99,1.01,overcast clouds
316,Oranjemund,NA,-28.55,16.4333,57.56,69,93,6.78,overcast clouds
317,Kapan,AM,39.2075,46.4058,76.59,48,30,5.5,scattered clouds
318,General Pico,AR,-35.6566,-63.7568,42.28,90,100,7.85,overcast clouds
319,Cidreira,BR,-30.1811,-50.2056,60.22,91,1,10.69,clear sky
320,Funtua,NG,11.5233,7.3081,69.73,92,85,5.03,moderate rain
321,Erenhot,CN,43.6475,111.9767,67.89,50,22,17.18,few clouds
322,Great Falls,US,47.5002,-111.3008,58.93,93,90,8.05,overcast clouds
323,Loandjili,CG,-4.7561,11.8578,72.03,79,88,5.68,overcast clouds
324,Valleyview,CA,55.0667,-117.2859,70.59,45,37,5.97,scattered clouds
325,Nagato,JP,34.3833,131.2,75.65,90,100,27.36,light rain
326,Puerto Varas,CL,-41.3195,-72.9854,39.42,93,0,2.3,clear sky
327,Huarmey,PE,-10.0681,-78.1522,63.81,82,9,12.01,clear sky
328,Atlantis,ZA,-33.5667,18.4834,52.18,98,100,12.24,light rain
329,Sibolga,ID,1.7427,98.7792,76.33,88,81,4.0,broken clouds
330,Coihaique,CL,-45.5752,-72.0662,39.15,75,20,3.44,few clouds
331,Joshimath,IN,30.5667,79.5667,69.71,91,100,0.11,overcast clouds
332,Iralaya,HN,15.0,-83.2333,80.22,81,85,8.52,overcast clouds
333,Champerico,GT,14.3,-91.9167,82.35,82,94,5.93,overcast clouds
334,Inhambane,MZ,-23.865,35.3833,64.35,70,0,6.55,clear sky
335,Nemuro,JP,43.3236,145.575,57.63,88,100,25.3,overcast clouds
336,Chimoio,MZ,-19.1164,33.4833,55.29,82,0,1.57,clear sky
337,Arapongas,BR,-23.4194,-51.4244,61.61,49,0,3.4,clear sky
338,Mizan Teferi,ET,6.9833,35.5833,60.58,99,100,1.25,moderate rain
339,Hervey Bay,AU,-25.2986,152.8535,66.36,72,84,12.91,broken clouds
340,Kungurtug,RU,50.5994,97.5228,54.55,73,16,0.69,few clouds
341,Newport,GB,51.5877,-2.9984,59.54,91,52,10.02,light rain
342,Bugama,NG,4.7341,6.8635,73.63,93,100,1.28,overcast clouds
343,Gizo,SB,-8.103,156.8419,82.44,69,45,4.41,scattered clouds
344,Sabang,ID,5.8933,95.3214,82.49,77,84,14.34,moderate rain
345,Miri,MY,4.4148,114.0089,78.44,87,92,4.65,overcast clouds
346,Hambantota,LK,6.1241,81.1185,78.4,81,95,15.57,overcast clouds
347,Cururupu,BR,-1.8283,-44.8683,74.28,86,20,3.76,few clouds
348,Lavrentiya,RU,65.5833,-171.0,48.51,67,42,14.99,scattered clouds
